2024/09/09 10:09:24.057519 main.go:55: [MongoDB] Created author with ID: 511c42b0-5210-46f1-a046-4cf5ed18cabb
2024/09/09 10:09:24.058262 main.go:55: [MongoDB] Created author with ID: 92c6de5d-5275-471b-b7aa-ee88336a78f6
2024/09/09 10:09:24.059254 main.go:55: [MongoDB] Created author with ID: f7fa7fc6-e1f6-4c59-af17-7ea23afcd317
2024/09/09 10:09:24.060058 main.go:55: [MongoDB] Created author with ID: f0d8f926-5679-4019-af7f-9b19dc67a160
2024/09/09 10:09:24.061099 main.go:55: [MongoDB] Created author with ID: 8c01c62b-1697-46a7-930f-56cdfbba6bdb
2024/09/09 10:09:24.062061 main.go:55: [MongoDB] Created author with ID: 6a9acaa2-2170-415d-a4ad-4aedfc369978
2024/09/09 10:09:24.062921 main.go:55: [MongoDB] Created author with ID: 936362dd-f64d-4384-a4a5-6e51f909513e
2024/09/09 10:09:24.063738 main.go:55: [MongoDB] Created author with ID: 948a8a16-84a7-462a-b6c1-9b136fe671c1
2024/09/09 10:09:24.064640 main.go:55: [MongoDB] Created author with ID: af9086fb-3ffa-4d67-b260-43e4cdc40c6e
2024/09/09 10:09:24.065716 main.go:55: [MongoDB] Created author with ID: 1df1aeb0-1280-4a58-a642-2de24126fadb
2024/09/09 10:09:24.066743 main.go:55: [MongoDB] Created author with ID: 812519af-578b-4551-b87c-3ca65e17d71a
2024/09/09 10:09:24.067879 main.go:55: [MongoDB] Created author with ID: e6bff0e4-75df-49a2-b4d6-8690e6abb6c7
2024/09/09 10:09:24.069031 main.go:55: [MongoDB] Created author with ID: fda923a5-19f2-48ef-91dd-549ce6180be8
2024/09/09 10:09:24.069966 main.go:55: [MongoDB] Created author with ID: 7e63e232-6501-4b5d-9622-7eccff236877
2024/09/09 10:09:24.070858 main.go:55: [MongoDB] Created author with ID: 55d3e8c8-f907-4304-9ddf-e594e0bf4147
2024/09/09 10:09:24.071676 main.go:55: [MongoDB] Created author with ID: b2b25ada-167f-4e3f-af67-f0be01d85deb
2024/09/09 10:09:24.072704 main.go:55: [MongoDB] Created author with ID: 19d6854e-585d-4e3d-9530-8a47856cb2d6
2024/09/09 10:09:24.073781 main.go:55: [MongoDB] Created author with ID: 698e4109-0c3d-4203-8452-edf80e91bb5a
2024/09/09 10:09:24.074676 main.go:55: [MongoDB] Created author with ID: bc110354-fd50-4130-8475-16ba608f0fe5
2024/09/09 10:09:24.075764 main.go:55: [MongoDB] Created author with ID: 5e4d62c1-dc85-4548-a31b-b76d98e6512c
2024/09/09 10:09:24.076770 main.go:55: [MongoDB] Created author with ID: 0ed1629c-8034-4fd9-895f-c44587f5c905
2024/09/09 10:09:24.077616 main.go:55: [MongoDB] Created author with ID: 56c7a99e-ae63-4c11-895a-6f99afd369a0
2024/09/09 10:09:24.078661 main.go:55: [MongoDB] Created author with ID: 57763f36-3f92-4285-a606-ff84ac206476
2024/09/09 10:09:24.079643 main.go:55: [MongoDB] Created author with ID: 70059c5d-c5a2-47e5-b977-52f0a9d17326
2024/09/09 10:09:24.080644 main.go:55: [MongoDB] Created author with ID: 0ed6638a-8024-400d-83e2-7bd5d240e710
2024/09/09 10:09:24.081734 main.go:55: [MongoDB] Created author with ID: 2f91909a-2e4d-4649-9867-1fe8e66356bf
2024/09/09 10:09:24.082888 main.go:55: [MongoDB] Created author with ID: a7179ea1-6a26-48c4-8894-5dc78a7619f9
2024/09/09 10:09:24.083935 main.go:55: [MongoDB] Created author with ID: 5136134e-3f4b-4d51-87a3-61b275ae636c
2024/09/09 10:09:24.085103 main.go:55: [MongoDB] Created author with ID: 94a4e65d-fdfa-457d-85f1-f8eedf6e9acc
2024/09/09 10:09:24.086135 main.go:55: [MongoDB] Created author with ID: 0be6604e-a460-478c-aadf-2e1597e1d54c
2024/09/09 10:09:24.087066 main.go:55: [MongoDB] Created author with ID: 6e124317-9080-4902-a588-2da1a3fcc291
2024/09/09 10:09:24.087898 main.go:55: [MongoDB] Created author with ID: ddbd6cab-47d8-4cde-b562-31f407fb983a
2024/09/09 10:09:24.088811 main.go:55: [MongoDB] Created author with ID: 31341472-fa56-42c3-a396-b99fcbf851bd
2024/09/09 10:09:24.089721 main.go:55: [MongoDB] Created author with ID: 0efeff20-21a1-4b8f-b269-486da02479ca
2024/09/09 10:09:24.090700 main.go:55: [MongoDB] Created author with ID: dd32c628-b08e-433b-b387-d0122823826c
2024/09/09 10:09:24.091696 main.go:55: [MongoDB] Created author with ID: 4d74c41b-ae46-4432-95d9-78c5da26753a
2024/09/09 10:09:24.092547 main.go:55: [MongoDB] Created author with ID: b429e553-d85b-4488-9b72-0dced39d639b
2024/09/09 10:09:24.093428 main.go:55: [MongoDB] Created author with ID: 48c661ed-e13e-4fbf-94a3-3f5e18b55ec2
2024/09/09 10:09:24.094292 main.go:55: [MongoDB] Created author with ID: f570f7dc-a56e-4b31-80a0-fd44fe4073ae
2024/09/09 10:09:24.095223 main.go:55: [MongoDB] Created author with ID: 60bbd20c-049b-4920-a509-40747db87a6b
2024/09/09 10:09:24.096079 main.go:55: [MongoDB] Created author with ID: 1c54ca52-fc2e-4983-b218-28f118580e58
2024/09/09 10:09:24.097254 main.go:55: [MongoDB] Created author with ID: 97657d9b-2f15-4e93-80fd-1da9feca663b
2024/09/09 10:09:24.098391 main.go:55: [MongoDB] Created author with ID: 738b0c25-019d-49c4-a1ce-775b9b8af0dc
2024/09/09 10:09:24.099666 main.go:55: [MongoDB] Created author with ID: ae402cda-b175-44ba-9210-ea2a78cc523c
2024/09/09 10:09:24.100735 main.go:55: [MongoDB] Created author with ID: a7478f57-8d28-48d2-abeb-7b729535a9aa
2024/09/09 10:09:24.101570 main.go:55: [MongoDB] Created author with ID: dd3f702f-7dd9-46aa-81ef-fb41fd648d8f
2024/09/09 10:09:24.102686 main.go:55: [MongoDB] Created author with ID: fc8a369b-24d2-48eb-90e3-dc4d29621ade
2024/09/09 10:09:24.103820 main.go:55: [MongoDB] Created author with ID: 12c5674a-7833-4a06-a807-861ff16f41e3
2024/09/09 10:09:24.104808 main.go:55: [MongoDB] Created author with ID: 5ccde8f0-44eb-4689-a6c1-6578aaffd623
2024/09/09 10:09:24.105832 main.go:55: [MongoDB] Created author with ID: 9a7c75e0-9cef-4c67-94d0-340bbd11154d
2024/09/09 10:09:24.106957 main.go:55: [MongoDB] Created author with ID: 001633db-ae1b-4c76-ab82-d56173b1a0ce
2024/09/09 10:09:24.108166 main.go:55: [MongoDB] Created author with ID: d13891db-ef67-4504-9fba-6ee45910f6dc
2024/09/09 10:09:24.109517 main.go:69: [MongoDB] Retrieved author with ID: 2f91909a-2e4d-4649-9867-1fe8e66356bf
2024/09/09 10:09:24.110797 main.go:69: [MongoDB] Retrieved author with ID: b429e553-d85b-4488-9b72-0dced39d639b
2024/09/09 10:09:24.111778 main.go:69: [MongoDB] Retrieved author with ID: 26d1d650-ecd8-40d5-a9d5-677b654ebdbe
2024/09/09 10:09:24.112648 main.go:69: [MongoDB] Retrieved author with ID: 511c42b0-5210-46f1-a046-4cf5ed18cabb
2024/09/09 10:09:24.113806 main.go:69: [MongoDB] Retrieved author with ID: 0ed1629c-8034-4fd9-895f-c44587f5c905
2024/09/09 10:09:24.115123 main.go:69: [MongoDB] Retrieved author with ID: 0be6604e-a460-478c-aadf-2e1597e1d54c
2024/09/09 10:09:24.116175 main.go:69: [MongoDB] Retrieved author with ID: dd32c628-b08e-433b-b387-d0122823826c
2024/09/09 10:09:24.117207 main.go:69: [MongoDB] Retrieved author with ID: 1cae75b1-dcf1-41cf-aa89-8da72b0620f8
2024/09/09 10:09:24.118046 main.go:69: [MongoDB] Retrieved author with ID: f7fa7fc6-e1f6-4c59-af17-7ea23afcd317
2024/09/09 10:09:24.119001 main.go:69: [MongoDB] Retrieved author with ID: b2b25ada-167f-4e3f-af67-f0be01d85deb
2024/09/09 10:09:24.120037 main.go:69: [MongoDB] Retrieved author with ID: 4f0b403f-ec71-4f10-b51b-1e285b390dfe
2024/09/09 10:09:24.121105 main.go:69: [MongoDB] Retrieved author with ID: 5a3be7a7-19bb-41f7-8a35-925603f2fe51
2024/09/09 10:09:24.122111 main.go:69: [MongoDB] Retrieved author with ID: dd3f702f-7dd9-46aa-81ef-fb41fd648d8f
2024/09/09 10:09:24.123189 main.go:69: [MongoDB] Retrieved author with ID: 5b3f65b2-a73c-4e5f-a391-4693f412f8a4
2024/09/09 10:09:24.124290 main.go:69: [MongoDB] Retrieved author with ID: 0584a294-064b-4076-bea7-794eed04233e
2024/09/09 10:09:24.125294 main.go:69: [MongoDB] Retrieved author with ID: 19d6854e-585d-4e3d-9530-8a47856cb2d6
2024/09/09 10:09:24.126415 main.go:69: [MongoDB] Retrieved author with ID: e5fe3081-c668-45f5-bbc7-95720d7f6017
2024/09/09 10:09:24.127361 main.go:69: [MongoDB] Retrieved author with ID: f85d9307-84ac-4bfa-8ed3-390ff9ba1dfc
2024/09/09 10:09:24.128341 main.go:69: [MongoDB] Retrieved author with ID: d6f79c23-9469-4a28-b764-de2cbf34211f
2024/09/09 10:09:24.129534 main.go:69: [MongoDB] Retrieved author with ID: fda923a5-19f2-48ef-91dd-549ce6180be8
2024/09/09 10:09:24.130574 main.go:69: [MongoDB] Retrieved author with ID: 0ed6638a-8024-400d-83e2-7bd5d240e710
2024/09/09 10:09:24.131557 main.go:69: [MongoDB] Retrieved author with ID: 6e124317-9080-4902-a588-2da1a3fcc291
2024/09/09 10:09:24.132622 main.go:69: [MongoDB] Retrieved author with ID: a7478f57-8d28-48d2-abeb-7b729535a9aa
2024/09/09 10:09:24.133597 main.go:69: [MongoDB] Retrieved author with ID: 16fca503-b079-4f25-a669-a90efeee2a85
2024/09/09 10:09:24.134478 main.go:69: [MongoDB] Retrieved author with ID: 44199ad7-8e4d-4665-b276-3f567e18fc40
2024/09/09 10:09:24.135216 main.go:69: [MongoDB] Retrieved author with ID: 1b746b4d-b6f6-4231-8dd4-32ce63528ea8
